Variable Original;Variable Translated;Description;Subcategory;Type;Mutability;Data Source
QT_EQUIP_MULTIMIDIA;Multimedia projectors;Number of multimedia projectors (data show);Pedagogical equipment;Numeric (count);Operational;School Census 2024
IN_EQUIP_LOUSA_DIGITAL;Has digital whiteboard;School has a digital interactive whiteboard for teaching;Pedagogical equipment;Binary (0/1);Operational;School Census 2024
QT_EQUIP_LOUSA_DIGITAL;Digital whiteboards;Number of digital interactive whiteboards;Pedagogical equipment;Numeric (count);Operational;School Census 2024
IN_EQUIP_TV;Has television;School has a television for teaching purposes;Pedagogical equipment;Binary (0/1);Operational;School Census 2024
IN_EQUIP_SOM;Has sound system;School has a sound system for teaching purposes;Pedagogical equipment;Binary (0/1);Operational;School Census 2024
QT_EQUIP_SOM;Sound systems;Number of sound systems;Pedagogical equipment;Numeric (count);Operational;School Census 2024
IN_EQUIP_SCANNER;Has scanner;School has a scanner for administrative use;Administrative equipment;Binary (0/1);Operational;School Census 2024
IN_EQUIP_IMPRESSORA;Has printer;School has a printer for administrative use;Administrative equipment;Binary (0/1);Operational;School Census 2024
IN_EQUIP_IMPRESSORA_MULT;Has multifunction printer;School has a multifunction printer for administrative use;Administrative equipment;Binary (0/1);Operational;School Census 2024
IN_EQUIP_COPIADORA;Has copier;School has a copier for administrative use;Administrative equipment;Binary (0/1);Operational;School Census 2024
IN_COMPUTADOR;Has administrative computer;School has a computer for administrative use;Administrative equipment;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_MULTIMIDIA;Multimedia teaching materials;School uses multimedia materials for teaching and learning activities;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_CIENTIFICO;Scientific teaching materials;School uses scientific materials and kits for teaching;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_DESPORTIVA;Sports and recreation materials;School has materials for sports practice and recreation;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_DIFUSAO;Audio amplification materials;School has audio amplification and diffusion equipment for teaching;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_JOGOS;Educational games;School uses educational games in teaching activities;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_ARTISTICAS;Arts and cultural materials;School has materials for cultural and artistic activities;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_PROFISSIONAL;Vocational education materials;School has materials for vocational education;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_MUSICAL;Musical instruments;School has musical instruments for ensemble, band and/or music classes;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_ETNICO;Ethnic-racial education materials;School has pedagogical materials for ethnic-racial relations education;Pedagogical materials;Binary (0/1);Operational;School Census 2024
IN_MATERIAL_PED_NENHUM;No pedagogical materials;School has none of the listed socio-cultural or pedagogical materials;Pedagogical materials;Binary (0/1);Operational;School Census 2024
QT_PROF_COORDENADOR;Class coordinators (count);Number of class or subject coordinators on staff;Support staff;Numeric (count);Operational;School Census 2024
IN_PROF_COORDENADOR;Has class coordinator;School has at least one class or subject coordinator;Support staff;Binary (0/1);Operational;School Census 2024
IN_PROF_PSICOLOGO;Has school psychologist;School has a school psychologist on staff;Support staff;Binary (0/1);Operational;School Census 2024
QT_PROF_PSICOLOGO;School psychologists (count);Number of school psychologists on staff;Support staff;Numeric (count);Operational;School Census 2024
IN_PROF_PEDAGOGIA;Has pedagogical support staff;School has pedagogical support professionals (pedagogues, coordinators, advisors);Support staff;Binary (0/1);Operational;School Census 2024
QT_PROF_PEDAGOGIA;Pedagogical support staff (count);Number of pedagogical support professionals on staff;Support staff;Numeric (count);Operational;School Census 2024
IN_PROF_BIBLIOTECARIO;Has librarian;School has a librarian or library assistant on staff;Support staff;Binary (0/1);Operational;School Census 2024
QT_PROF_BIBLIOTECARIO;Librarians (count);Number of librarians or library assistants on staff;Support staff;Numeric (count);Operational;School Census 2024
QT_PROF_ASSIST_SOCIAL;Social workers (count);Number of social workers or community advisors on staff;Support staff;Numeric (count);Operational;School Census 2024
IN_PROF_ASSIST_SOCIAL;Has social worker;School has a community advisor or social worker on staff;Support staff;Binary (0/1);Operational;School Census 2024
IN_PROF_MONITORES;Has lab/tech monitors;School has laboratory or educational technology monitors/assistants;Support staff;Binary (0/1);Operational;School Census 2024
QT_PROF_MONITORES;Lab/tech monitors (count);Number of laboratory or technology monitors and assistants on staff;Support staff;Numeric (count);Operational;School Census 2024
IN_PROF_GESTAO;Has management staff;School has vice-principal or administrative/financial management staff;Management staff;Binary (0/1);Operational;School Census 2024
QT_PROF_GESTAO;Management staff (count);Number of vice-principals and administrative management staff;Management staff;Numeric (count);Operational;School Census 2024
IN_PROF_SECRETARIO;Has school secretary;School has a school secretary on staff;Management staff;Binary (0/1);Operational;School Census 2024
QT_PROF_SECRETARIO;School secretaries (count);Number of school secretaries on staff;Management staff;Numeric (count);Operational;School Census 2024
IN_ORGAO_CONSELHO_ESCOLAR;School council;School council (Conselho Escolar) is active at the school;Governance & participation;Binary (0/1);Operational;School Census 2024
IN_ORGAO_GREMIO_ESTUDANTIL;Student union;Student union (Gremio Estudantil) is active at the school;Governance & participation;Binary (0/1);Operational;School Census 2024
IN_ESPACO_ATIVIDADE;Shared community spaces;School shares spaces for school-community integration activities;Services;Binary (0/1);Operational;School Census 2024
IN_EDUC_AMBIENTAL;Environmental education program;School develops environmental education activities;Services;Binary (0/1);Operational;School Census 2024
QT_DOC_MED;HS teachers (count);Number of high school teachers on staff;Teaching staff;Numeric (count);Operational;School Census 2024
IN_ACESSIBILIDADE_SINAL_VISUAL;Visual accessibility signals;Accessibility feature: visual signaling on floors/walls in internal circulation areas;Operational accessibility;Binary (0/1);Operational;School Census 2024
IN_ACESSIBILIDADE_SINAL_SONORO;Auditory accessibility signals;Accessibility feature: auditory signaling in internal circulation areas;Operational accessibility;Binary (0/1);Operational;School Census 2024
IN_ACESSIBILIDADE_SINAL_TATIL;Tactile accessibility signals;Accessibility feature: tactile signaling on floors/walls;Operational accessibility;Binary (0/1);Operational;School Census 2024
IN_ACESSIBILIDADE_INEXISTENTE;No accessibility features;School has none of the listed accessibility features for persons with disabilities;Operational accessibility;Binary (0/1);Operational;School Census 2024
